Jname	Jarticles	nWave_ap	MedianWave_ap	Q25Wave_ap	Q75Wave_ap	nWave_ra	MedianWave_ra	Q25Wave_ra	Q75Wave_ra	nWave_rp	MedianWave_rp	Q25Wave_rp	Q75Wave_rp
Multidiscip Respir Med	48	48				48	76.5	44.5	120	48		80.5	
Muscle Nerve	4	4				4				4			
Musculoskelet Surg	60	60	119.5	85	287	60	94	48	193	60	235	161	553.5
Mutat Res Fundam Mol Mech Mutagen	1	1				1				1			
Mutat Res Genet Toxicol Environ Mutagen	8	8	206	206	208	8	2	2	3	8	209.5	208	216.5
Mutat Res Rev Mutat Res	2	2				2				2			
Mutat. Res.	246	246	114.5	77		246	128	97	187	246	291	200	
Mycobiology	23	23	54	40.5	70	23	41	31	72	23	95	85.5	113
Mycopathologia	108	108	95.5	66.5	118	108	122.5	95.5	176	108	236	189	267.5
Mycorrhiza	74	74	193.5	170	207	74	89.5	71	118	74	285.5	255	322
Mycoses	60	60	192	162	224	60	74	60	117	60	268	223	340.5
Mycotoxin Res	28	28	92	81	141	28	86	44.5	135	28	211	176	226.5
N Biotechnol	85	85	146	80	244	85	115	75	171	85	285	153	427
Nano Rev	1	1				1				1			
Nanomedicine	163	163	186	166	222.5	163	141	86	180	163	332	272	390
Nanoscale Res Lett	274	274				274	47	33	68	274		52	
Nat Chem	155	155	73	62	82	155	125	95	161	155	205	163	249
Nat Commun	1571	1571				1571	135	94	182	1571		109	
Nat Mater	129	129	102	85	111	129	148	105	196	129	255	209	293
Nat Nanotechnol	123	123	54	42	65	123	155	104	201.5	123	199	162	262
Nat. Biotechnol.	93	93	49	40	69	93	113	80	165	93	164	125	224
Nat. Cell Biol.	149	149	60	52	71	149	159	114	224	149	227	175	286
Nat. Chem. Biol.	116	116	78	69.5	85.5	116	140	91.5	196.5	116	218	177.5	273.5
Nat. Genet.	267	267	62	53.5	69	267	144	111.5	204.5	267	215	177	262
Nat. Immunol.	144	144	75	65.5	82	144	73	51.5	108	144	148	125.5	182.5
Nat. Med.	170	170	68.5	60	94	170	118.5	75	203	170	184	144	273
Nat. Methods	166	166	66	57	77	166	123.5	84	172	166	188.5	146	238
Nat. Neurosci.	284	284	61	54	70.5	284	84.5	58	119	284	143	123	188
Nat. Struct. Mol. Biol.	206	206	69	57	79	206	116	78	151	206	183	145	212
Nature	702	702	66	52	77	702	160	106	235	702	225.5	168	302
Naturwissenschaften	141	141	44	32	51	141	87	52	114	141	129	100	161
Naunyn Schmiedebergs Arch. Pharmacol.	107	107	103	81	114.5	107	94	67	125	107	196	163	244
Neonatology	140	140		123		140	99	70	128.5	140	217	67.5	
Neoplasia	95	95	67	48	75	95	68	47.5	120	95	135	102	177.5
Neotrop. Entomol.	56	56	113	84	127	56	149	102.5	251.5	56	254	204	377.5
Nephrol. Ther.	38	38	168	104	208	38	127	79	189	38	295.5	231	384
Nephron Clin Pract	96	96				96	173.5	125.5	222	96		83	
Nephron Exp. Nephrol.	18	18				18	163	102	247	18		170	
Nephron Physiol	8	8				8	61	25.5	125	8			
Nephrourol Mon	97	97	197	146	258	97	21	12	39	97	211	192	269
Netw Model Anal Health Inform Bioinform	2	2				2				2			
Neural Comput Appl	2	2				2				2			
Neural Dev	16	16				16	92.5	66	128.5	16			
Neural Netw	156	156	132	101	152.5	156	285	146.5	376	156	428	269	499
Neural Plast.	85	85				85	65	48	89	85			
Neural Regen Res	191	191	54	37.5	80	191	85	60.5	100.5	191	143	114	175.5
Neuro Endocrinol. Lett.	148	148				148	51	23	78	148			
Neurobiol Learn Mem	130	130	86	60	122	130	103	64	153	130	214.5	153	278
Neurobiol. Aging	346	346	179	164	197	346	133	67	181	346	325	243	385
Neurobiol. Dis.	238	238	130	108	146	238	110	82	150	238	244.5	200	291
Neurochem. Int.	221	221	77	57	89	221	122	84	152	221	192	153	242
Neurochem. Res.	288	288	82	69.5	96.5	288	92.5	65	124	288	182	154	209
Neurochirurgie	21	21	164	99	182	21	235	119	281	21	430	268	504
Neurocirugia (Astur)	40	40				40	88.5	79	119	40			
Neurodegener Dis	76	76	201	143.5	267.5	76	125.5	75	166	76	302	198	374
Neuroendocrinology	89	89		276		89	153	105	180	89	530	240	
Neuroepidemiology	76	76	162	91.5		76	91	46.5	139	76	288.5	166.5	
Neuroethics	10	10	572.5	462	690	10	134	57	212	10	715	516	914
Neurogastroenterol. Motil.	156	156	111	86	132	156	92	58	144.5	156	206	161	261.5
Neurogenetics	22	22	70	42	85	22	58.5	50	101	22	151	87	170
Neuroimage	1049	1049	149	125	177	1049	111	84	153	1049	273	229	333
Neuroimage Clin	192	192				192	85	63	110	192			
Neuroimmunomodulation	61	61		99		61	82	57	119	61	165	72	
Neurointervention	18	18	55	22	107	18	43.5	21	71	18	81.5	43	135
Neurol Int	27	27				27	91	72.5	153.5	27		213	
Neurol Res Int	40	40				40	110	75	175	40	29	23	
Neurol. Sci.	247	247	234	207	317	247	88	59	119	247	334	283	420
Neurologia	80	80	433.5	363		80	106	57	122.5	80	558	473	
Neuromodulation	68	68		330.5		68	116.5	80.5	181.5	68		419	
Neuromolecular Med.	49	49	100	66	155	49	97	62	150	49	202	161	244
Neuromuscul. Disord.	112	112	92	79	114	112	128	92	172	112	226	175.5	278.5
Neuropathol. Appl. Neurobiol.	7	7	207	100	238	7	46	40	51	7	259	128.5	300.5
Neuropathology	49	49	257	216	287	49	48	19	77	49	310	227	355
Neuropeptides	50	50	104	52	147	50	121	40	144	50	235	89	257
Neuropharmacology	477	477	169	136	228	477	101	73	147	477	289	245	338
Neurophysiol Clin	28	28	99	62	103	28	238.5	152	319	28	347	315	418
Neuropsychiatr	30	30		46		30	101.5	55	201	30	214	81	
Neuropsychiatr Dis Treat	18	18				18				18			
Neuropsychobiology	78	78				78	193	164	262	78	143	63	320
Neuropsychol Rev	25	25	28	24	36	25	56	45	76	25	84	71	177
Neuropsychologia	347	347	61	52	75	347	166	123.5	218	347	236	188.5	291
Neuropsychopharmacology	170	170	152	137	163	170	106.5	82	133	170	255	238	287
Neuroradiol J	60	60	72	29		60	67	32	115.5	60	91.5	43	138
Neuroradiology	155	155	96	82.5	112.5	155	84	58	98	155	181	156	209
Neurosci Biobehav Rev	199	199	92	65	174	199	134	96	181	199	253	191	336.5
Neurosci Bull	77	77	202	89	296	77	80	50	112	77	357	145	381
Neurosci. Lett.	807	807	70	59.5	82	807	78	53.5	113	807	153	123	192
Neurosci. Res.	141	141	96	67		141	89	61	120	141	202	158	
Neuroscience	822	822	108	93	124	822	88.5	59	122	822	200	165	244
Neurosignals	21	21	293	220	380	21	118	89	162	21	443	309	553
Neurosurg Rev	89	89	240	204	267	89	245	178	317	89	490	400	572
Neurotox Res	91	91	191	156	229.5	91	80	56.5	99.5	91	271	238.5	321.5
Neurotoxicol Teratol	73	73				73	117	68	156	73			
Neurotoxicology	163	163	73	57	91.5	163	87	65	137	163	173	136	213
Neurourol. Urodyn.	105	105	348	293	381	105	91	70	130	105	434	398	501
New Microbes New Infect	7	7	83	69	88.5	7	35	25	40.5	7	121	99	123.5
New Microbiol.	44	44	76	49.5	97	44	74.5	54	142	44	148	133.5	216
New Phytol.	529	529	116	104	129	529	55	41	75	529	167	150	201
Nitric Oxide	76	76	98.5	77	130	76	109	68	157	76	216	160	272
NMR Biomed	168	168	206	164	242	168	157	108.5	227	168	364	302	432
Nucl Instrum Methods Phys Res A	1	1				1				1			
Nucl Instrum Methods Phys Res B	2	2				2				2			
Nucl Med Mol Imaging	60	60	130.5	87	175	60	70.5	58	109	60	206	176	261
Nucl Med Rev Cent East Eur	20	20				20	0	0	0	20			
Nucl Phys A	3	3				3				3			
Nucl Recept Signal	1	1				1				1			
Nucl. Med. Biol.	152	152	111	94	128	152	68	35.5	91	152	176	148.5	211
Nuklearmedizin	42	42				42	120.5	92	166	42	205	121	
Nurs Crit Care	28	28	185	135	240	28	93.5	85	141	28	289.5	247	326
Nurs Health Sci	63	63	306	247	338	63	172	121	203.5	63	438	374.5	507
Nurs Midwifery Stud	20	20	51	40	86	20	48	21	71.5	20	118	100	140
Nurs Outlook	55	55				55	132	93	202.5	55			
Nurs Res Pract	129	129				129	71	54	108	129			
Nurse Educ Pract	145	145	183	105	224	145	210	187	298	145	413	292	518
Nurse Educ Today	250	250	262	216	328	250	128	91	182	250	419	338	476
Nutr Diabetes	13	13				13	168	87	183	13			
Nutr J	98	98				98	149	123	199	98		114	
Nutr Metab (Lond)	53	53				53	92	64	119	53		65	
Nutr Metab Cardiovasc Dis	110	110	343.5	209	520	110	136.5	105	188	110	518	332	696
Nutr Res	132	132	64.5	58	84.5	132	187	144	225	132	252	216	319.5
Nutr Res Pract	26	26	72.5	55	110	26	113	77	182	26	196.5	136	277
Nutrients	146	146	18	8		146	54.5	40	68	146	59	43	77
Nutrition	232	232	244	193.5		232	111.5	77	156.5	232	400	304.5	
Obes Facts	72	72	198.5	79.5		72	176	98	277	72	208.5	134.5	431.5
Obes Res Clin Pract	48	48				48	120.5	53	187.5	48			
Obes Rev	76	76	137	122	150	76	78	65.5	102	76	224	194	239
Obesity (Silver Spring)	397	397	238	202	280	397	175	99	267	397	405	325	491
Obstet Gynecol Int	107	107				107	99	52.5	146.5	107			
Obstet Gynecol Sci	53	53	107	78	137	53	83	47	105	53	187	143	242
Occup Ther Int	8	8	177	147	244.5	8	213.5	127.5	246.5	8	372.5	335.5	469.5
Ocul Surf	25	25	121	96	152	25	93	41	129	25	237	121	281
Odontology	76	76	407	384	446.5	76	110	86.5	196.5	76	560	493	624
Oecologia	320	320	208	157	232	320	256	177	358.5	320	410.5	347	525
Oman Med J	64	64	29	15	46.5	64	54.5	35.5	72	64	87	68	108
Onco Targets Ther	6	6				6				6			
Oncogene	472	472	385	371	402	472	140.5	100.5	180.5	472	526	478	581
Oncogenesis	13	13				13	51	30	102	13			
Oncoimmunology	187	187	59	46.5	72.5	187	4	1	8	187	65	52	85
Oncol Lett	948	948	79	69	94	948	122	87	152	948	204.5	169	235
Oncol. Rep.	807	807	98	86	117	807	54	40	72	807	157	136	179
Oncology	137	137				137	59	35	102	137		184	
Oncoscience	1	1				1				1			
Oncotarget	3	3				3				3			
Onderstepoort J. Vet. Res.	9	9				9	85	68	108	9	82	64	
Open AIDS J	10	10				10	87.5	34	119	10		46	
Open Biochem J	19	19	220	38		19	43	26	45	19	265	81	
Open Biomed Eng J	24	24				24	79	42	90.5	24		73.5	
Open Cardiovasc Med J	34	34				34	41.5	26	73	34			
Open Dent J	44	44				44	67	47.5	84	44			
Open Med	8	8		120.5		8	70	19	84.5	8		157.5	
Open Med Chem J	9	9				9	50	39	50	9			
Open Med Inform J	8	8				8	68	60	102.5	8		134	
Open Microbiol J	34	34				34	46	29	57	34			
Open Neuroimag J	9	9				9	91	39	100	9		163	
Open Neurol J	12	12				12	69	66.5	69	12			
Open Nurs J	32	32				32	99	70	138.5	32		82	
Open Ophthalmol J	26	26				26	65.5	55	94	26		84	
Open Orthop J	155	155				155	83	41.5	108	155		67.5	
Open Respir Med J	18	18				18	60	54	71	18			
Open Rheumatol J	29	29				29	71	44	93	29			
Open Virol J	22	22				22	57	35	78	22		44	
Oper Orthop Traumatol	13	13	98	74	109	13	140	136	144	13	242	207	245
Ophthalmic Physiol Opt	72	72	95	68	109	72	117	74.5	159	72	224	181	241
Ophthalmic Res.	95	95		152.5		95	101	44.5	130	95	240	88	
Ophthalmic Surg Lasers Imaging Retina	85	85				85	137	93	223	85			
Ophthalmol Ther	7	7				7				7	193	128	195.5
Ophthalmologica	98	98		282		98	103	58	164	98	350	113	
Ophthalmology	293	293	189	168	202	293	132	99	182	293	321	283	367
Opt Laser Technol	1	1				1				1			
Oral Dis	119	119	335	296	376.5	119	94	56	169.5	119	448	394.5	523.5
Oral Maxillofac Surg	48	48	425.5	323	491	48	119.5	88	163.5	48	535.5	477	622
Oral Oncol.	142	142	113	92	132	142	73	54	106	142	192	165	248
Oral Radiol	2	2				2				2			
Oral Surg Oral Med Oral Pathol Oral Radiol	256	256	160.5	112	268.5	256	96	64.5	138.5	256	271	222	401
Org Electron	1	1				1				1			
Org Med Chem Lett	5	5				5	94	57	117	5	297	17	
Org Process Res Dev	2	2				2				2			
Organometallics	5	5				5				5	69	53	83
Orig Life Evol Biosph	29	29	73	34	86	29	58	52	160	29	119	83	222
ORL J. Otorhinolaryngol. Relat. Spec.	53	53				53	104	81	169	53		87	
Orphanet J Rare Dis	98	98				98	83	65	120	98		122	
Orthod Fr	18	18	106	96	198	18	35.5	8	70	18	143	117	248
Orthop Rev (Pavia)	38	38		100		38	49.5	22	113	38		161	
Orthop Surg	22	22	119.5	93	163	22	56.5	38	99	22	179.5	128	256
Orthop Traumatol Surg Res	147	147	153	106.5	186	147	152	90	238.5	147	327	261	431
Osong Public Health Res Perspect	29	29	43	38	56	29	11	9	34	29	68	45	86
Osteoarthr. Cartil.	272	272	89	79	103	272	151	117	188	272	235.5	214	283
Osteoporos Int	304	304	208.5	191	253.5	304	95.5	61.5	144	304	327	269	392.5
OTJR (Thorofare N J)	5	5				5	200	164	207	5	72	63	
Otolaryngol Pol	74	74				74	41.5	22	58	74			
Oxid Med Cell Longev	373	373				373	61	44	85	373			
Pacing Clin Electrophysiol	260	260	169.5	138	214	260	97	61	159.5	260	295	227	367
Paediatr Respir Rev	4	4				4				4			
Pain	340	340	110	96	121	340	131	79	187	340	247	195	308
Pain Manag Nurs	41	41	870	514	1002	41	171	81	240	41	989	711	1143
Pain Pract	77	77	338	277	372	77	95	60	146	77	428	355	511
Pain Res Treat	33	33				33	65	42	95	33			
Pain Ther	13	13				13				13	170	102	190
Pak J Med Sci	201	201	46	32	76	201	106	69	145	201	143	118	192
Palaeogeogr Palaeoclimatol Palaeoecol	2	2				2				2			
Pan Afr Med J	634	634				634	87	25	168	634		285	
Pancreatology	136	136				136	98.5	64	133	136			
Parasit Vectors	193	193				193	71	43	109	193			
Parasite	76	76				76	95	65	138.5	76			
Parasite Immunol.	28	28	103.5	64.5	130.5	28	91.5	53	148	28	178	146	293
Parasitol. Int.	98	98	136	116	148	98	160	94	240	98	293.5	216	387
Parasitol. Res.	524	524	85	75	98.5	524	65.5	33	123.5	524	160	120	205.5
Parkinsonism Relat. Disord.	194	194	117	105	142	194	120	81	164	194	248	198	292
Parkinsons Dis	39	39				39	56	40.5	89	39		94.5	
Part Fibre Toxicol	31	31				31	137	104.5	176.5	31			
Pastor Care Educ	3	3				3				3			
Pathobiol Aging Age Relat Dis	5	5				5	59	38	173	5			
Pathobiology	33	33	206	164		33	90	55	130	33	302	179	373
Pathog Dis	81	81	68	52	124	81	106	59	161	81	175	132	236
Pathogens	18	18				18	37	29	49	18			
Pathol. Biol.	30	30	192	13	324	30	97	32	264	30	325	49	517
Pathol. Int.	41	41	30	15	44	41	110	67	144	41	134	96	195
Pathol. Oncol. Res.	151	151	164	126.5	190	151	152	108	240.5	151	311	258.5	389
Pathol. Res. Pract.	161	161	84	75	108	161	117	83	166	161	206	169	277
Patholog Res Int	20	20				20	79	46.5	105	20			
Pathophysiology	24	24	293	28		24	168	62.5	226	24	131.5	95.5	208.5
Patient Educ Couns	248	248	128	103	154	248	186.5	144	247	248	323	260	394
Patient Prefer Adherence	4	4				4				4			
Patient Saf Surg	25	25				25	62	40	71	25			
Pattern Recognit	1	1				1				1			
Pediatr Allergy Immunol Pulmonol	6	6	72.5	47	131	6	50	7	96	6	103	93	227
Pediatr Blood Cancer	401	401	181	159	212	401	79	45	136	401	279	228	337
Pediatr Cardiol	307	307	188	158	310	307	76	50	99.5	307	266	213	367
Pediatr Diabetes	81	81	225	204	253	81	98	63	140	81	326	271	372
Pediatr Gastroenterol Hepatol Nutr	19	19		24		19	20	8	28	19	54	12	162
Pediatr Int	97	97	164	141	178	97	173	110	287	97	359	280	484
Pediatr Neonatol	91	91	240	179	316.5	91	198	137	329	91	462	371	563
Pediatr Neurosurg	102	102				102	125.5	89	168	102			
Pediatr Obes	69	69	367	156	469	69	127	81	176	69	507	266	625
Pediatr Radiol	197	197	194	152	213	197	103	72	134	197	296	256	339
Pediatr Rep	15	15		75.5		15	85	55	107.5	15		98.5	
Pediatr Rheumatol Online J	29	29				29	121	101	139	29		75	
Pediatr. Nephrol.	236	236	168	141	302	236	94.5	50.5	150	236	306	235	404.5
Pediatr. Neurol.	165	165	139	115	161	165	77	48	105	165	220	186	264
Pediatr. Pulmonol.	208	208	353	317	382	208	138	94.5	181	208	491.5	432.5	549.5
Pediatr. Res.	129	129	209	198	220	129	128	101	158	129	333	298	367
PeerJ	350	350				350	54	36	88	350		17	
Peptides	278	278	67	56	81	278	46.5	33	78	278	123.5	95	154
Perioper Med (Lond)	12	12				12	134.5	84.5	194.5	12			
Pers Individ Dif	1	1				1				1			
Personal Ment Health	17	17	199	186	245	17	204	131	223	17	420	330	452
Persoonia	15	15	150	150	241	15	113	91.5	122	15	266	244	367.5
Perspect Psychiatr Care	23	23	307	244.5	337.5	23	176	118.5	234	23	452	415	508.5
Pest Manag. Sci.	211	211	258	214	289	211	149	116	202.5	211	423	364.5	462
Pestic Biochem Physiol	68	68	89	54	112.5	68	130.5	74.5	186	68	208.5	175	284
Pflugers Arch.	191	191	165	95	190.5	191	49	27	80.5	191	217	164	267
Pharm Pract (Granada)	44	44				44	143	82	266	44	132	79	443
Pharm Stat	47	47				47	175	133	252	47			
Pharm. Res.	300	300	128	110.5	156	300	102.5	75	143.5	300	232.5	202.5	288
Pharmaceuticals (Basel)	41	41				41	55	36	74	41			
Pharmaceutics	21	21				21	68	43	88	21			
Pharmacoepidemiol Drug Saf	145	145	110	93	151	145	157	120	223	145	282	228	360
Pharmacogenomics J.	50	50	391.5	313	476	50	117	86	146	50	524	450	585
Pharmacogn Mag	32	32		23		32	402	353.5	425.5	32	370	341	400
Pharmacogn Rev	17	17				17	245	227	302	17	135	88	168
Pharmacognosy Res	27	27	39	6		27	261	229	305.5	27	274	238.5	306.5
Pharmacol Rep	174	174				174				174	265.5	123	
Pharmacol Res Perspect	3	3				3				3			
Pharmacol. Biochem. Behav.	250	250	65	47	85	250	121.5	84	172	250	194	147	246
Pharmacol. Res.	108	108	77	70	95	108	78	39	108	108	164	132	192
Pharmacol. Ther.	100	100	121	106	138	100	1	0	3	100	125	106.5	148
Pharmacology	127	127				127	73	43	101	127		88.5	
Pharmacotherapy	3	3				3				3			
Pharmgenomics Pers Med	4	4				4				4			
Philos Ethics Humanit Med	12	12				12	305	234	402.5	12	359.5	69.5	
Phonetica	19	19				19	205	151.5	289	19		243.5	
Photoacoustics	2	2				2				2			
Photochem. Photobiol.	204	204				204	83.5	58	121.5	204			
Photodiagnosis Photodyn Ther	75	75	223	190	255.5	75	105	75.5	152.5	75	343	285	375.5
Photosyn. Res.	143	143	127	67	176.5	143	106	77	134	143	246	214.5	272.5
Phys Fluids (1994)	6	6	72	72	174	6	187	114	217	6	288.5	288	289
Phys Life Rev	63	63	59	37	85	63	3	1	5	63	61	39	95
Phys Med	72	72	356	263.5	397	72	135	97.5	185.5	72	494	400	541
Phys Plasmas	1	1				1				1			
Phys Rev E Stat Nonlin Soft Matter Phys	1131	1131				1131				1131	127	82	188.5
Phys Ther Sport	36	36	348.5	323	389.5	36	208	132	323	36	598	509.5	665
Phys. Rev. Lett.	1982	1982				1982				1982	147	108	192
Physiol Mol Biol Plants	1	1				1				1			
Physiol Plant	108	108	249	212	269	108	70	57	105	108	319	282.5	353
Physiol Rep	31	31	23	14	34	31	22	9	41	31	48	31	61
Physiol. Behav.	289	289	39	28	60	289	156	109	227	289	211	159	305
Physiother Res Int	17	17	333	284	368	17	175	130	254	17	499	444	605
Physiotherapy	41	41	344	287	379	41	209	181	257	41	542	500	612
Phytochem Anal	113	113				113	105	86	150	113			
Phytochem Rev	2	2				2				2			
Phytochemistry	281	281	113	100	135	281	154	107	202	281	273	223	355
PhytoKeys	72	72				72	114	75	150	72		164	
Phytomedicine	247	247	118	109	135	247	90	64	119.5	247	217	176	246
Phytother Res	210	210	322.5	309	335	210	122.5	78	172	210	446	401	498
Pigment Cell Melanoma Res	104	104	85.5	79	105	104	114	87.5	172	104	197	164	261.5
Placenta	241	241	82	72	93	241	90	62	126	241	168	141	215
Planet Space Sci	1	1				1				1			
Plant Biol (Stuttg)	118	118	244	132	298	118	87	55	142	118	340.5	230	390
Plant Biotechnol Rep	2	2				2				2			
Plant Biotechnol. J.	88	88	146	132.5	168.5	88	79.5	59	111.5	88	234	196	269
Plant Cell Environ.	154	154	206.5	180	225	154	102	76	159	154	311	263	373
Plant Cell Rep.	193	193	104	84	121	193	70	48	87	193	171	149	194
Plant J.	310	310	93	84	101	310	90	55	122	310	186	145	219
Plant Methods	26	26				26	75.5	49	121	26		116	
Plant Mol. Biol.	139	139	69	54	126	139	128	86	184.5	139	220	160	275
Plant Pathol. J.	31	31	160	141.5	174	31	80	37	122	31	250	206	270
Plant Physiol. Biochem.	314	314	88	78	102	314	84	54	121	314	179	132	226
Plant Reprod	19	19	69	68	113	19	50	40.5	68	19	123	114	165.5
Plant Sci.	211	211	100	90	108	211	86	63	112	211	185	161	214
Planta	203	203	101	87	113	203	67	39.5	99	203	169	141	199
Plasmid	92	92	118	99.5	146	92	85	60.5	119	92	211	205	229
Plasmonics	10	10		199		10	90	86	90	10	392.5	186	
Plast Reconstr Surg Glob Open	74	74	45	40	58	74	107	55	133	74	153	98	198
Plast Surg Int	20	20				20	63	53	97	20		103	
PLoS Biol.	187	187				187	151	118	198.5	187	179	86.5	
PLoS Comput. Biol.	672	672				672	149	116	193	672		94.5	
PLoS Genet.	888	888		48.5		888	138	98	183	888	444.5	130	
PLoS Med.	123	123				123	170	139.5	205.5	123	127	54	
PLoS Negl Trop Dis	793	793				793	148	107	194	793		87	
PLoS ONE	45560	45560				45560	107	77	149	45560		108	
PLoS Pathog.	757	757				757	143	106	193	757		91	
PM R	115	115	140	106	167.5	115	149	81	214	115	305	237	367
Pneumonol Alergol Pol	39	39				39	0	0		39			
Pol J Radiol	22	22	46.5	21		22	53.5	43	108	22	74	31	135
Pol Orthop Traumatol	1	1				1				1			
Popul Health Metr	13	13				13	344	279	374	13	276	64	330
Popul Res Policy Rev	1	1				1				1			
Postepy Dermatol Alergol	27	27	80	38.5	120	27	142	82.5	175.5	27	234	135	260
Postepy Kardiol Interwencyjnej	143	143				143	75	34.5	126	143			
PPAR Res	51	51				51	78	53	100	51		40	
Pract Radiat Oncol	73	73				73	75	48	106	73			
Prenat. Diagn.	125	125	122	98	132	125	100	69	140	125	215	177	245
Presse Med	200	200	193	94	311.5	200	45	14	107	200	311.5	120	413
Prev Med	309	309	97	80	128	309	129	99	162	309	229	184	273
Prev Nutr Food Sci	28	28	27.5	9.5	55	28	69	33	121.5	28	99.5	75	146
Prev. Vet. Med.	195	195	122	97	170	195	189	138	240.5	195	316	249	395
Prim Care Companion CNS Disord	67	67				67	78	47.5	119	67	281	74	
Prim Care Diabetes	53	53	154	107	190	53	123	93	196	53	288	236	416
Primates	59	59	143	101	162.5	59	145	113	241	59	297	231	381.5
Probl Radiac Med Radiobiol	38	38				38				38			
Proc. Math. Phys. Eng. Sci.	9	9	96	93	99	9	61	40	71	9	156	142	167
Prog Nucl Magn Reson Spectrosc	24	24	153	99	171	24	60.5	41.5	109	24	203	156	270
Prog Orthod	10	10				10	189	49	433	10	296	178	
Prog Retin Eye Res	36	36	135	80	155.5	36	105	69.5	141.5	36	225	207	286
Prog. Biophys. Mol. Biol.	25	25	85	44	151	25	93	68	146	25	180	131	329
Prog. Lipid Res.	58	58	95	75	125	58	96	63	144	58	209	163	241
Prog. Neurobiol.	62	62	159	92	317	62	123	85	184	62	400	225	470
Prog. Neuropsychopharmacol. Biol. Psychiatry	278	278	125	104	155	278	79.5	59	103	278	205	178	246
Prog. Urol.	239	239	144	79	172	239	21	2	77.5	239	172	127	242
Prostaglandins Leukot. Essent. Fatty Acids	114	114	81.5	62	101	114	95	63	133	114	191	146	288
Prostaglandins Other Lipid Mediat.	65	65	221	125		65	124	79	193	65	335	245	
Prostate	164	164	158.5	138	195	164	75.5	46	129	164	252	210	292
Prostate Cancer	27	27				27	80	69	118	27		66.5	
Prostate Cancer Prostatic Dis.	16	16	143	119.5	176	16	83.5	71.5	150	16	221	199.5	300
Prostate Int	45	45				45	70	25	141	45			
Protein Cell	70	70	65	40	81	70	37.5	20	63	70	97	70	159
Protein Expr. Purif.	169	169	74	65	84	169	62	44	89	169	142	114	165
Protein Pept. Lett.	67	67	220	191	264.5	67	94	64.5	126	67	311	271	415
Protein Sci.	182	182	73	62	78	182	61	44	80	182	134	114	158
Proteins	203	203	152	136	175	203	95	68	127	203	247	221.5	290
Proteome Sci	34	34				34	141.5	110	191	34		78	
Proteomics	289	289	89	71	107	289	124	82	174	289	226	179	284
Proteomics Clin Appl	51	51	95	48	156	51	102	73	159	51	175	136	309
Protist	74	74	74	60	92	74	133	77	200	74	221	156	328
Protoplasma	92	92	250	202	284.5	92	79.5	47	104.5	92	319	284	382
Prz Gastroenterol	28	28				28	86	46	109.5	28		248.5	
Psych J	1	1				1				1			
Psychiatry Clin. Neurosci.	75	75	195	113	221	75	234	154.5	307	75	416	339	565
Psychiatry Investig	47	47	154	126	204.5	47	72	44.5	116	47	252	190	315
Psychiatry J	46	46				46	86	55	120	46		34	
Psychiatry Res	534	534	177	140	219	534	230	166	304	534	399.5	340	495
Psychogeriatrics	15	15	155	124	181.5	15	151	103.5	205	15	309	229.5	452
Psychol Psychother	9	9				9				9	648	574	831
Psychol Res	71	71	368	341	415	71	135	100	182.5	71	519	467.5	593.5
Psychometrika	40	40				40				40	605	534	737
Psychoneuroendocrinology	292	292	166	116	232	292	131	91.5	168	292	300	254	357.5
Psychooncology	260	260	303.5	182	373	260	160.5	117.5	207.5	260	458.5	344	558.5
Psychopathology	52	52	215	129	244	52	179	126.5	296.5	52	388.5	285.5	507.5
Psychopharmacology (Berl.)	396	396	157	146	171	396	119	84	165	396	283	238	329.5
Psychophysiology	129	129	127	110	152	129	163	117	238	129	294	235	381
Psychosis	2	2				2				2			
Psychosomatics	108	108				108	44	27	89.5	108			
Psychother Psychosom	45	45	222	108		45	160	90	235	45	182	88	368
Public Health	143	143	93	80.5	119	143	277	171	378	143	377	291	498
Public Health Ethics	1	1				1				1			
Public Health Genomics	36	36				36	103	85.5	141.5	36		134.5	
Pulm Med	49	49				49	76	51	97	49		56	
Pulm Pharmacol Ther	78	78	202	150	265	78	95	62	147	78	300.5	260	399
Purinergic Signal.	27	27	172	156.5	210.5	27	65	49.5	94.5	27	248	209	281
Qatar Med J	35	35				35	91	14	93.5	35			
Quant Imaging Med Surg	17	17		19		17	30	27	32	17	34	9	51
Quat Geochronol	1	1				1				1			
Radiat Environ Biophys	40	40	108	84	127	40	141	108	177.5	40	239	208.5	281
Radiat Oncol	172	172				172	108	79.5	147	172		149.5	
Radiat Oncol J	20	20	45	25.5		20	71.5	40	86	20	102	67.5	119
Radiol Med	68	68	546	475	585	68	60	42	91.5	68	613	568	666
Radiol Oncol	59	59		143.5		59	61	32	108	59	223	165.5	
Radiol Phys Technol	108	108	107.5	54.5	151	108	124	89	161	108	215	173	303.5
Radiol Res Pract	24	24				24	95	68	110	24			
Radiologia	65	65				65	120	92	172	65			
Radiother Oncol	305	305	65	46	90	305	154	93	230	305	216	141	306
Rapid Commun. Mass Spectrom.	210	210	99	92	105	210	68	49	97	210	168	147	196
Rare Dis	38	38				38	35	18	77	38			
Rare Tumors	87	87		91		87	79	60	103.5	87		144	
Recent Pat Anticancer Drug Discov	9	9	221	203	265	9	24	5	30	9	227	214	277
Recent Pat Antiinfect Drug Discov	2	2				2				2			
Recent Pat Biotechnol	2	2				2				2			
Recent Pat Cardiovasc Drug Discov	4	4				4				4			
