Jname	MedianWave_ap	Q25Wave_ap	Q75Wave_ap	MedianWave_ra	Q25Wave_ra	Q75Wave_ra	MedianWave_rp	Q25Wave_rp	Q75Wave_rp
Interact J Med Res				96	69	150.5		92.5	
Interdiscip Perspect Infect Dis				93	32	142.5			
Interdiscip Sci	108	80	176	156	156	197	283	236	456
Interdiscip Toxicol	42	13		45	24	101	108	44	204
Interface Focus	88	88	101	57	55	68	156	156	156
Intern Emerg Med	189	108.5	491.5	90	37	122	252	175.5	685
Intern Med J	142	97	242.5	110	66.5	152.5	270	219	368.5
Interv Med Appl Sci	63	40	87	82	48	168	156	120	253
Interv Neuroradiol	138.5	103	139	49	33	64	176.5	143	202
Intervirology		155		156	112	211	204	124.5	361
Intractable Rare Dis Res				20	10	37		41	
Intravital									
Intrinsically Disord Proteins									
Invert. Neurosci.	114	97	206	156	68	171	268	256	348
Invest New Drugs	217	183	267	48	38	70.5	264	236	346.5
Investig Genet				77	0	161	120	21	
Iperception								241.5	
Ir J Med Sci	275	234	304	161	104	249	440	375	513
Ir Vet J				162	122	234.5		129.5	
Iran Endod J				142	107	161		156	
Iran J Allergy Asthma Immunol	278	233	321	76	35	96	374	293	430
Iran J Basic Med Sci	146	112	262	136	99	175	256	206	346
Iran J Cancer Prev		197		57	45	92	333	175	
Iran J Child Neurol		359		74.5	45.5	106		321.5	
Iran J Kidney Dis	176	131.5	232.5	146.5	1	192	356	287	516
Iran J Med Sci	271	187.5	337.5	115	80	150.5	410	324	503
Iran J Neurol				91	83	96		88.5	
Iran J Otorhinolaryngol	126.5	95	176	93.5	72	119	245.5	188	303
Iran J Parasitol	47	20		107	86	149.5	129.5	101.5	163
Iran J Ped Hematol Oncol				100	81	112.5		12.5	
Iran J Pediatr	142.5	89	232.5	174	129	208.5	309.5	256.5	473.5
Iran J Psychiatry Behav Sci	271.5	186		611.5	203	795	549	302	740
Iran J Radiol	186	145	290	246	133	395	538	278	616
Iran J Reprod Med	138	111	197	193	140	250	338	268	445
Iran Red Crescent Med J	82.5	36.5	221.5	214.5	126.5	349	400.5	308.5	489.5
Iran. J. Public Health				95	75	140	234	68	
Iranian J Environ Health Sci Eng				5	1	53			
ISA Trans	125	102	145	222.5	132	342.5	339.5	263	474.5
ISME J	170	160	179.5	125.5	92	148.5	293	264	323
Isr J Health Policy Res				166	116	203		100	
ISRN AIDS				31	28	38			
ISRN Allergy				22.5	18	36		56	
ISRN Cardiol				26.5	19	35.5			
ISRN Dent				32	24	43			
ISRN Dermatol				28.5	22	37.5			
ISRN Endocrinol				27.5	21	35			
ISRN Family Med				24	21	42			
ISRN Gastroenterol				25	20	32			
ISRN Hematol				32.5	26	52			
ISRN Inflamm				25.5	20	46.5			
ISRN Microbiol				29	26.5	39.5			
ISRN Nephrol		57		26	21.5	40	185	66	
ISRN Neurol				35	23.5	49			
ISRN Neurosci				26	23	38			
ISRN Nurs				30.5	24.5	44			
ISRN Nutr				33	25	42		27	
ISRN Obes				30	25	41.5			
ISRN Obstet Gynecol				32	24	48			
ISRN Oncol				29	20	42			
ISRN Ophthalmol				35	24	44			
ISRN Org Chem				30	23	44			
ISRN Orthop				28	24.5	35.5			
ISRN Otolaryngol				35	28	46			
ISRN Pediatr				41	33	58			
ISRN Pharm				33	30	43			
ISRN Pharmacol				28	22	42.5			
ISRN Prev Med		96		33	24	42.5		89.5	
ISRN Psychiatry				40	29	48			
ISRN Radiol		90		29	22	44		75	
ISRN Rheumatol				28	24	34.5			
ISRN Surg				28.5	26	37			
ISRN Toxicol				37	32.5	40.5			
ISRN Urol				30	26.5	39.5			
ISRN Vet Sci				34.5	25.5	38			
Ital J Pediatr				91.5	58	125.5		73	
IUBMB Life	91	77.5	104	35	25	52	125	109	154
J AAPOS	131	111	149	122	87	160	245	228	288
J Acad Nutr Diet	167	136		238	161		310.5	175	422
J Acupunct Meridian Stud	176.5	110	277	92	62	117	298.5	187	446
J Addict		150		91	67	116	221.5	36.5	
J Adolesc	93	81	107	238	184	315	329	265	441
J Adolesc Health	162	144	221.5	149	120	182	326.5	276	385
J Adv Prosthodont		21		163	139	232.5	183	148	241.5
J Adv Res	352	337.5	386.5	94	66.5	128	442	413	497
J Affect Disord	151	128	183	79	47	127	239	206	289.5
J Aging Res				78	47	114		78	
J Aging Stud	107	80	127	109	96	176.5	213	184	287
J Agric Sci									
J Allergy (Cairo)				88	47	117			
J Allergy Clin Immunol Pract				59	39	110			
J Allied Health				126.5	93	225	176	66	
J Am Acad Child Adolesc Psychiatry	71	64	79	165	135	216	234	206	292
J Am Assoc Nurse Pract	808	367	810	152	127	169	944.5	536	964
J Am Coll Clin Wound Spec									
J Am Coll Radiol	172	111	215.5	11	4	41	207.5	125	245
J Am Med Dir Assoc	130	103	160	47	12	88	184	153	226
J Am Oil Chem Soc	117	103		105	95	105	204	149.5	208
J Am Soc Echocardiogr							270	195	329.5
J Am Soc Hypertens				53	29	69			
J Amino Acids				65	43	102			
J Anal Methods Chem				55	43	82			
J Anesth	208	189	221.5	112	64	218	314	264.5	406
J Anim Ecol	168	126.5	187.5	184	124	246.5	341	266	400.5
J Anim Physiol Anim Nutr (Berl)	369	349	386	154	120	217	521	484	593
J Anim Sci Biotechnol				70.5	40	108			
J Anthropol Archaeol									
J Anxiety Disord	77	37	140.5	205	153	266	292	216.5	399.5
J Appl Behav Anal	208	130		190	142	319	324	285	383
J Appl Clin Med Phys				148	105.5	190.5	240.5	78.5	
J Appl Crystallogr	106	70	164	110.5	94	142	251	188	272
J Appl Ecol									
J Appl Mech	219	218	247	324	179	442	542	398	688.5
J Appl Oral Sci				169	117.5	247			
J Appl Phys	34	19	116	46	41	87.5	149	70.5	184
J Appl Res Intellect Disabil									
J Appl Toxicol	426.5	287	566.5	55	34.5	93.5	499.5	345	619.5
J Arthroplasty	222	177	257	131	75	193	351	297	405
J Arthropod Borne Dis				336	126	439	319	221	580.5
J Artif Organs	156	122	180	121	69	168	275	225	302
J Assoc Nurses AIDS Care				173	120	232			
J Ayurveda Integr Med	99	42	243	72.5	47	93	127	102	185
J Basic Clin Physiol Pharmacol				92	68	114	118	68	
J Behav Addict	144	131	158.5	69	62	130.5	256	200	281
J Behav Med	439.5	398.5	465	197	149.5	276	629.5	575.5	684.5
J Behav Ther Exp Psychiatry	213	180	233	198	153	254	423	368	465
J Bioeth Inq	141	85	249	124	50.5	166.5	328	145.5	385
J Biol Eng				162	126	236		63	
J Biol Phys	108	68	143.5	67	40	136	194	79.5	248
J Biomech	78	67	91	141	93	213	225	183	289
J Biomech Eng	63	54.5	94	160	135.5	206	228	189	275
J Biomed Inform	102	84	127.5	171	137	237.5	276	230.5	361.5
J Biomed Mater Res A	282	251	339	90	57	133.5	392	332	437
J Biomed Opt	22	12	31	78	50	108	107	59	128
J Biomed Phys Eng							33	27.5	70.5
J Biomed Res	95	45	178	52	35	103	167	89	251
J Biomed Semantics				190	118	252		157	
J Biophotonics	278.5	106.5	416	75.5	53	104	348	202	504
J Biophys				107	50	160	141	28	
J Blood Transfus				119	78	159			
J Bodyw Mov Ther	212	149	243	86.5	58	135	295.5	239	382
J Bone Metab	26	23	81.5	54	49	96.5	121	94.5	133.5
J Brachial Plex Peripher Nerve Inj				181	139	209		79.5	
J Bras Nefrol				150	89	207			
J Bras Pneumol				125	87	193			
J Breast Cancer	54	21.5	75.5	111	83	149.5	143.5	100	169
J Bus Res									
J Cachexia Sarcopenia Muscle	185.5	141.5	210	135	95.5	196.5	305.5	251	433
J Can Acad Child Adolesc Psychiatry	127.5	83	225	89	42	102	205.5	155	325
J Cancer				39.5	28	60.5			
J Cancer Epidemiol				92	47	104			
J Cancer Prev				11.5	10	20	1	1	31
J Cancer Surviv	169	152	185	90	65	161	269	236	344
J Carcinog				85.5	79	130		114	
J Card Surg									
J Cardiol	145	131	181.5	89	62	124.5	238	201.5	288.5
J Cardiothorac Surg				123.5	97.5	165.5	316.5	46	
J Cardiovasc Comput Tomogr				140	108	194.5			
J Cardiovasc Dis Res	113	62	190	79	49.5	157	177	111.5	225
J Cardiovasc Magn Reson				144	106	175		138	
J Cardiovasc Thorac Res				83	43	100			
J Cardiovasc Transl Res	116	97	134.5	49.5	41.5	64.5	166.5	152.5	197.5
J Cardiovasc Ultrasound	19	15	19	124	58	160	145	99	176
J Caring Sci	166	2	458	44	0	75	264	2	502
J Catal									
J Cataract Refract Surg	153.5	133	173	85	53	126.5	238.5	199	286
J Cell Commun Signal	162	115	186	15	1	84.5	183	159	277
J Cell Death									
J Cerebrovasc Endovasc Neurosurg	30	15	89	57	37	117	78	52	110
J Chem Biol	59.5	21		77	45	137	178.5	105	287
J Chem Eng Data									
J Chem Theory Comput							126	90.5	150
J Chem Thermodyn									
J Cheminform				83	66.5	98		55	
J Child Orthop	136	87.5	136	118	83	130	254	192	255
J Chin Med Assoc	240.5	200	335	119	88	172	407	314	540
J Chiropr Humanit									
J Chiropr Med	99.5	20.5	109	183	100.5	485	292	144	530
J Chromatogr A	64	57	72	76	54	105	144	118	182
J Circadian Rhythms				52	20	76			
J Clin Anesth	206	158	252	248	173	309	458	388	526
J Clin Apher	139.5	16	234	84	20	203.5	273	36	359
J Clin Biochem Nutr	137	96	152	50	26	79	193	145	235
J Clin Bioinforma				65	36	97			
J Clin Densitom				61	36	90			
J Clin Diagn Res	65	46	85	102	62	144	173	123	216
J Clin Epidemiol	170	143	201	195	147	287	387	313	492
J Clin Exp Dent	96	61	101	103	53.5	124.5	193	127.5	216.5
J Clin Exp Hepatol	199	156	275	148	97	184	340	340	533
J Clin Hypertens (Greenwich)	110	99	122.5	55	40.5	68	163	139	189
J Clin Imaging Sci				48	29	86.5			
J Clin Lipidol				108	77	143			
J Clin Monit Comput	188	148	203	140	88	176	327	285	372
J Clin Neurol	159.5	95	219	128	106	192	316	221	411
J Clin Neurosci	319	264	357	72	12	117	398	313	463
J Clin Pharm Ther	133	112.5	162	81.5	36	131.5	217	166	294.5
J Clin Pharmacol	112	85	319	97	71	133	224	168	413
J Clin Psychiatry	131	88	152	127.5	90	168	252.5	210	310
J Clin Sleep Med									
J Clin Ultrasound	503	252		211	164	280	690	507	
J Coll Physicians Surg Pak	151	104	289	321	231	483.5	562	424	646
J Colloid Interface Sci	110	101	122	68	50	91	178	160	213
J Commun Disord				245	192	374			
J Community Genet	141.5	95	221.5	125	101	150	287	206	400
J Community Hosp Intern Med Perspect				69	43	81			
J Complement Integr Med				178	80	560	644	344.5	
J Comput Chem	121	110	137	81	59	117	210	182	237
J Comput Neurosci	252	231.5	309.5	161.5	123	217	437	377.5	495.5
J Comput Phys									
J Conserv Dent	66	50	104	123	94	155	201	163	236
J Contemp Brachytherapy				75	63	126	80	40.5	100
J Contin Educ Nurs	73	63	84	95	63	153	171	129	236
J Control Release	102	90	120.5	100	74	128	210	171	258.5
J Craniomaxillofac Surg	306	265	334	203	138	292	514.5	439	585
J Crit Care	196.5	162	233.5	106	82	140	310	266	364
J Crohns Colitis	261	222	338	76	43	109	360	289	423
J Dent	74	64	100.5	111	66	152	200	161	286
J Dent (Tehran)	26	15	50	83.5	73	95	98	87	116
J Dent Res Dent Clin Dent Prospects				218	134	289	201	87	369
J Dermatol Case Rep		244.5		49.5	31.5	92	314	151	
J Diabetes	202	186	251	129	51	187	349	284	427
J Diabetes Investig	213	186	242	92	37	152	305	223	373
J Diabetes Metab Disord				131	76	179		86	
J Diabetes Res				57	42	98			
J Drug Deliv				67	43	82			
J Dtsch Dermatol Ges	129	98	166.5	84	52.5	102.5	214	169	252
J Dyn Syst Meas Control									
J East Afr Stud									
J Eat Disord				103	66	134		80	
J Echocardiogr									
J Econ Theory									
J Educ Eval Health Prof				67	46.5	84.5			
J Educ Psychol									
J Egypt Natl Canc Inst	109	87	138	91	63	119	200	161	255
J Electroanal Chem (Lausanne Switz)									
J Electrocardiol									
J Electromyogr Kinesiol	134	111	156.5	156	102	194	298	231	329
J Electron Packag									
J Emerg Med	219	183	298	231	170	283	468	394	566
J Emerg Nurs	296	126.5	430.5	93	43.5	162.5	445	209.5	548.5
J Emerg Trauma Shock	180.5	147	267	98	25	162	309.5	244	421
J Endod	119	93	139	135	92	168	252	219	286
J Eng Math									
J Environ Health Sci Eng				148.5	127.5	195			
J Environ Public Health				93	64	128		61	
J Environ Radioact	172	141	288	151	100	265	353	287	562.5
J Epidemiol Glob Health	113.5	94	170	149	87	229	259.5	218	359
J Epilepsy Res									
J Equine Sci									
J Ethics									
J Ethnobiol Ethnomed				133	66.5	184		127	
J Ethnopharmacol	73	66	82	121	90	160	195	166	234
J Eur Acad Dermatol Venereol	414.5	371	436	108.5	75	139	512	462	541
J Evid Based Dent Pract									
J Evid Based Med	30	20	65	21	5	44.5	68	49	96
J Exerc Nutrition Biochem									
J Exerc Rehabil				35	20	46			
J Exp Anal Behav	81	64	105	190.5	133	289	293	234	367
J Exp Child Psychol	135.5	115	175.5	183.5	142	253.5	346	282	425.5
J Exp Soc Psychol									
J Exp Zool A Ecol Genet Physiol	111	91	123	113	90	153	223	181	265
J Expo Sci Environ Epidemiol				186	137	243			
J Extracell Vesicles				107	61.5	127		79.5	
J Fluency Disord	96	81	140	165	81.5	284	261	215	445.5
J Fluids Eng									
J Fluoresc	126	113	129	102	69.5	144.5	226	179	275
J Foot Ankle Res				122	93	146		44	
J Foot Ankle Surg									
J Forensic Leg Med	108	72	145	187	141	226	310	252	387
J Fr Ophtalmol	238	176.5	322.5	64	28.5	104.5	321.5	234	410
J Funct Biomater				71	41	87			
J Gastric Cancer	82	30.5		34	26	56.5	43	26	99.5
J Gastrointest Oncol	102	87	110	29	19	33	127	106	168
J Gen Intern Med	180	161	203	170	132	212	353	312	412
J Gene Med		21		157.5	122	220	434.5	166	
J Genet Couns	211.5	169	247	181	144	280	412.5	320	499
J Genet Genomics	74	48	104	73	30	104	162	112	195
J Geriatr Cardiol	39	9	72	106	80	142	158	110	181
J Geriatr Oncol	122	80	138	169	141	196	276	240.5	315
J Gerontol Nurs	168	77	248	92	64	151	317	150	383
J Ginseng Res	108.5	74.5	117.5	89.5	65.5	134	199.5	149.5	222.5
J Glob Antimicrob Resist									
J Grad Med Educ	212.5	152	264	161.5	120	220	396	344	438
J Gynecol Obstet Biol Reprod (Paris)	198	119	289	115	79	170	350	241	495
J Gynecol Oncol	103	47	172	52.5	15	81	153	51	222
J Hand Microsurg	217	131	366.5	83	48	138	330	218.5	464
J Hand Surg Am	96	81.5	114	116	66	178.5	229.5	181	292
J Hand Ther				113	47	187			
J Headache Pain	348	296		46	12	69	379	348	
J Health Econ	82	71	100	373.5	227	502	449	305	583
J Healthc Qual									
J Heat Transfer									
J Hematol Oncol				46	33	65		60	
J Hosp Med	92.5	68.5	113	91.5	65.5	113	190	155	223
J Hum Hypertens	227	211	259	102	83	134	336	308	383
J Hum Reprod Sci				128	90.5	172	138	56.5	256
J Immunother Cancer				87	53	117			
J Incl Phenom Macrocycl Chem									
J Indian Prosthodont Soc	317	178	347	365	185	544.5	674	521.5	804
J Indian Soc Periodontol	64	23	123	412.5	256	565	475	282	652
J Infect Dev Ctries	292	192	392.5	131	87	215.5	406	271.5	495
J Infect Public Health	170	150	191.5	104	77	133	261.5	242	325
J Inflamm (Lond)				218	156	287	256	65	
J Inflamm Res									
J Inj Violence Res	176	145	350	117	91	145	319	233	553
J Innate Immun		156.5		88	45	139	89	37.5	320
J Int AIDS Soc				172	115.5	234.5	350.5	86.5	
J Int Oral Health	34.5	21	48	60	51	69	98	85	108
J Int Soc Sports Nutr				100.5	61.5	197		246	
J Integr Bioinform				53	48	57.5			
J Integr Plant Biol	130.5	58	151	61	50	89	189	130	216
J Intensive Care				80	72	99			
J Interv Card Electrophysiol	151	109	180	71	51	99	228	196	258
J Interv Gastroenterol		91		56.5	26	78	110.5	23.5	
J Investig Clin Dent	514	338	560.5	123	74.5	168	632.5	471	717
J Korean Assoc Oral Maxillofac Surg	11	4	242	47.5	28	56	59	45	148
J Korean Neurosurg Soc				186	157	252	181	143	247
J Korean Surg Soc	74	53	96.5	91	65	123	167.5	129	216.5
J Labelled Comp Radiopharm	134	107	152	65	39	107	208	163	264
J Lipids				77	69	107		57	
J Loss Trauma									
J Magn Reson Imaging	291	242	335	168.5	128	246	464	408	525
J Mal Vasc	78	66	144	128	90	188	235	172	346
J Mammary Gland Biol Neoplasia	49	37	52	67	43	87	113	104	130
J Manipulative Physiol Ther	129	67	587	190	138	305	390	270	1074
J Mass Spectrom	68	58	83	63	47	93	135	110	170
J Mater Chem C Mater Opt Electron Devices									
J Mater Sci Mater Med	96	84	107	138	96	176	227	185	291
J Math Anal Appl									
J Math Biol							625.5	552.5	692.5
J Math Neurosci				141	100	180	122	50	
J Maxillofac Oral Surg	433	368	518.5	110.5	78.5	157	558	488	642
J Mech Behav Biomed Mater	116	89	143.5	98	70.5	134	220	172	283
J Mech Des N Y									
J Med Case Rep				117.5	88	143		90	
J Med Device									
J Med Ethics Hist Med				143	52	176		208.5	
J Med Imaging Radiat Oncol	225	186.5	252.5	118.5	82.5	149.5	338.5	285.5	392
J Med Life	87	56	120.5	124	112	145.5	212	182	260
J Med Person									
J Med Phys	41	30	70	97	83	125	141	121	181
J Med Signals Sens		53.5		116	70	218	157	97.5	274
J Med Syst	76	52	92	89	61	103	157	127	193
J Med Ultrason (2001)									
J Ment Health Policy Econ	32	14	44	211.5	153	373	250.5	181	417
J Microbiol Immunol Infect	433.5	74	515.5	112.5	74.5	169	517	266	643.5
J Microsc	98	81	107	123	83.5	183	228	170	282
J Minim Access Surg	304	266	311	127	81.5	210.5	478	377.5	506.5
J Minim Invasive Gynecol				54	34	73			
J Mod Opt									
J Mol Diagn	116	108	138	132	105	183	254	221	305
J Mol Genet Med									
J Mol Model	123	105	150	76	56	116.5	207	176	280
J Mol Psychiatry				53	41	115.5		62	
J Mol Signal				151.5	83.5	185.5			
J Mov Disord									
J Multidiscip Healthc									
J Mycol Med	85	52	108	132	90	181	199	171	294
J Nanobiotechnology				85.5	59	107			
J Nanopart Res				139	108.5	202.5		192	
J Nanotechnol Eng Med							90	88.5	118.5
J Nat Med	286	263	314	91	60	153	385	332	437
J Negat Results Biomed				137	121.5	198	224	56.5	
J Nephropathol	121	92	245	28	19	52	150	121	272
J Neural Transm	165	130	206	105	71	134	276	205	321
J Neurodev Disord				119	105	187.5			
J Neuroeng Rehabil				344.5	289	359	289	148	319
J Neurogastroenterol Motil	38	19.5	74	50	18.5	76	95	40.5	133
J Neuroimaging		400		141	90	212		580	
J Neuroimmune Pharmacol	107	86	149	76	43	115	196	161	269
J Neuroinflammation				111	60	141		65	
J Neurol Surg B Skull Base	184	158	219	76	49	130	260	221	334
J Neurol Surg Rep	110	84.5	194	82	43.5	112.5	169	157	329
J Neuropsychol		426.5			281.5		468.5	413.5	695
J Neuroradiol	311.5	244.5	352	106.5	59	126	435	320.5	458.5
J Nucl Cardiol	122.5	107	140	112	89	197	257	198	302
J Nucleic Acids				56	43	76			
J Nurs Educ	152	130	169	132	98	197.5	276.5	241	352
J Nutr Educ Behav				235.5	197.5	336.5			
J Nutr Metab				97	68	138			
J Nutr Sci				169	147	207.5	176	81	
J Nutrigenet Nutrigenomics				138	70	272		144	
J Obes				96	64	128		36	
J Obstet Gynaecol India	483.5	214.5	805.5	196.5	122.5	448	800	496.5	1166
J Occup Med Toxicol				157	113	201			
J Ocul Biol Dis Infor				34	24	39			
J Oncol				78	50	123		114	
J Ophthalmic Inflamm Infect	79	79		2	1	48	80	65	81
J Ophthalmic Vis Res	106	33	163.5	65	52.5	109.5	203	89.5	259.5
J Ophthalmol				69	52	88			
J Opioid Manag				177.5	124	228.5			
J Optom				80.5	50.5	235			
J Oral Maxillofac Res				122	45	306.5	310	166.5	
J Oral Microbiol				84	61.5	91			
J Organ Behav									
J Organomet Chem									
J Orofac Orthop	215	195	229	165	83	262	398	282	505
J Orthop				118	93	165		203	
J Orthop Sci	103	81.5	120.5	135	94	194	237	199	333.5
J Orthop Surg Res				316	131	471	363	279	
J Orthop Traumatol	225	131	319.5	252.5	187.5	324.5	472	398.5	574
J Osteoporos				70	59	88.5		17.5	
J Otolaryngol Head Neck Surg				72	46	152	74.5	9.5	
J Ovarian Res				66	38.5	84			
J Pain	148	122	161	114.5	82	163	257	209	301
J Pain Res									
J Pain Symptom Manage	328	308	362	112	76	152	443	408	496
J Parasit Dis	627	543.5	692	54.5	29.5	97.5	693.5	603.5	759
J Parasitol Res				67	44	81			
J Pathog				75	48	140			
J Pathol Inform				36.5	0	70			
J Pediatr (Rio J)				72	51	103			
J Pediatr Adolesc Gynecol	165	139	235	82	57	125	249	225	340
J Pediatr Health Care				84	60	124			
J Pediatr Nurs				255	164	380			
J Pediatr Ophthalmol Strabismus				130.5	79	187			
J Pediatr Urol	240	203	386	133	77	176	396	332	499
J Pediatric Infect Dis Soc	274	247	338	151	106.5	213	455	393.5	547
J Perinat Med	197	171	210	80	51	145	287	244	328
J Perinatol	162	140	194	113	75	146	272	243	307
J Periodontal Implant Sci	20.5	13	55	46	34.5	84.5	64.5	44.5	142.5
J Pers Med									
J Pest Sci (2004)									
J Pharm Bioallied Sci	122	88	159	164.5	79	198	274	193	352
J Pharm Biomed Anal	114	98	194	75	56	105	213	161	314.5
J Pharm Health Serv Res									
J Pharm Policy Pract				101.5	23	234		63	
J Pharm Sci	82	75	96	76	54	103	161	135	194.5
J Pharmacokinet Pharmacodyn	60	42.5	109	110.5	72	140	181	157.5	235.5
J Pharmacol Toxicol Methods				68	41	100.5			
J Phys Chem C Nanomater Interfaces							126	77	148
J Phys Chem Lett	21	17	23	38	30	45	58	53	62
J Phys Ther Sci	121	114	128	36.5	29	44	159	146	169
J Physiol Anthropol				167	118	220	73	63	96
J Physiol Sci	95	76	129	96	68.5	140	208	159	245
J Plast Reconstr Aesthet Surg	125	113	150	120.5	52	174	259.5	196	321
J Polym Sci A Polym Chem									
J Posit Psychol									
J Pregnancy				83	58.5	103		40	
J Press Vessel Technol									
J Prev Med Public Health	37	10.5	180.5	96	61.5	153	109	86	258
J Prof Nurs									
J Prosthet Dent	197	186	216	164	153	190	369	350	386
J Prosthodont Res	131	112	147	274.5	155	349	392.5	255	508
J Proteomics	91	71	154	102	73	137	207	168	291
J Psychiatr Res	111	102	124	120	80.5	157	237	190.5	267.5
J Psychosoc Nurs Ment Health Serv	96	52	143	152	85	177	248	178	301
J Psychosom Res	84	63	107	120	81.5	152	213	171	244
J Public Health Dent		92		213	163	263	172	80	317
J Public Health Res	53	23		77	54.5	102	120	76	156
J R Stat Soc Ser C Appl Stat									
J Radiat Oncol									
J Refract Surg	104	81	121	118	80	173	222	181	272
J Rehabil Res Dev							159	66.5	
J Ren Nutr	168	100	309	62	7	123	306	104	439
J Renal Inj Prev				46	27	73.5			
J Reprod Infertil	74	67	106	97.5	70.5	104.5	180.5	129.5	209.5
J Res Health Sci				72	53	104			
J Res Med Sci	34	16	101.5	132	63	260	206	88	345.5
J RNAi Gene Silencing									
J Robot Surg	438	419		95	67	103	463	15	468
J Rural Med				87	60.5	93			
J S Afr Vet Assoc				128	0	194		90	
J Safety Res	126	102	170	191	122	268	317	270	388
J Saudi Heart Assoc	74	35.5	162.5	86	47	107.5	173	117.5	283
J Sch Health	353	301.5	376.5	253	205.5	297	598	540	654
J Sch Psychol	106	84	143	382	300	514	529	388	632
J Sci Med Sport	309	274	347	156	114	223	469	421	554
J Sep Sci	76	65	92	59	40.5	88	142	119	169
J Shoulder Elbow Surg	258	168	286	118	87	149	378	294	427
J Signal Transduct				59	48	66.5			
J Skin Cancer				60	46.5	76		134	
J Sleep Res	204	196	222	125	94	169	326	300	380.5
J Small Anim Pract	152	62	330	130	125.5	151	273	192	476.5
J Sol Energy Eng									
J Solution Chem				215.5	145.5	246	460	90	
J Spec Pediatr Nurs	119	109	140	173	147.5	253	306	275	380
J Sports Sci Med				107	69	168		81	
J Stat Plan Inference									
J Stem Cells Regen Med				77	51	228		56	
J Stroke	29	4		53	37	99	94	41	120
J Stroke Cerebrovasc Dis	316	197.5	499	66	45	107	393	273	586
J Subst Abuse Treat	193	166	273	167	131.5	229	405	313	489.5
J Support Oncol									
J Surfactants Deterg	220.5	205		147.5	42	186	391	345	
J Surg Educ				79	51.5	118			
J Surg Oncol	106.5	87	155	103	50	160	235	163	299
J Synchrotron Radiat	73.5	55	90	104.5	66	147	176.5	152	226
J Syst Softw									
J Tehran Heart Cent	170.5	139	236	182.5	117	241	422	335	467
J Ther Ultrasound				103.5	89	142			
J Thorac Dis	44	23	102	30	10	35	75	42	121
J Thyroid Res				86	49.5	122			
J Tissue Eng				55	49	63			
J Tissue Eng Regen Med	79.5	54	551	233.5	164	289	362	224	809
J Tissue Viability	95.5	74	106	119	95.5	211	229	185.5	317
J Toxicol				62	47	77		303	
J Toxicol Pathol	125	101	148	65	49	99	184	163	235
J Trace Elem Med Biol	182	134.5	215	185	137	254	355	308	454
J Transl Med				102.5	74.5	139		105.5	
J Transplant				64.5	53	95			
J Trauma Manag Outcomes				455	381	506	298	254	393
J Trauma Stress	143	134	167	298	237	321	445	371	465
J Travel Med				113	84	143			
J Trop Med				89	64	107		66	
J Turbomach									
J Turk Ger Gynecol Assoc				38	21	69		47	
J Ultrasound		104		16	10	41	462	73	
J Undergrad Neurosci Educ				73	49	96			
J Vac Sci Technol A									
J Vasc Interv Radiol	104	96.5	124	100	71	141	213	178	271.5
J Vasc Nurs	258	235	306	43	42.5	71	301	294	348
J Venom Anim Toxins Incl Trop Dis				92.5	40	111		80	
J Venom Res				119	117	148.5			
J Vet Cardiol	119	77	173	144	76	237	289.5	171	365
J Vet Emerg Crit Care (San Antonio)				502	400.5	572.5			
J Vib Acoust									
J Voice	151	130	177	90	58.5	116.5	232	198	284
J Young Pharm	38	17	101	48	40	66	86	73	105
J Youth Adolesc	172	91	285	72	52	100	247	175	371
J Youth Stud									
J. Allergy Clin. Immunol.	128	80.5	167	134	82	184.5	276	190	361.5
J. Am. Acad. Dermatol.	166	133.5	196	113	63	159	276	225.5	347
J. Am. Coll. Cardiol.	132	98	175	73	39.5	105.5	209	175	244.5
J. Am. Coll. Surg.	114	108	135	57	41	75	178	144	210
J. Am. Soc. Mass Spectrom.	103	86	120	74	51	107	183	152	228
J. Anim. Breed. Genet.	236	200	290	161.5	112	227	378	316	499
J. Antibiot.	136	111	154	104	58	128	238	159	275
J. Appl. Genet.	100	72	107	86	63	96	173	159	230
J. Appl. Microbiol.	99	90	107	80	63	108	178.5	157	207
J. Appl. Phycol.				110	96	112	72	2	157
J. Assist. Reprod. Genet.	52	35	76	77	56	104	132	108	161
J. Assoc. Res. Otolaryngol.	113	101	125.5	138.5	95	256	270	201	368.5
J. Autoimmun.	78	58	107	26	1	62	96	74	177
J. Basic Microbiol.	433.5	395.5	504.5	92	70	124.5	526	485	595
J. Biochem. Mol. Toxicol.	67	55	87	64.5	54	80.5	137	121.5	155
J. Bioenerg. Biomembr.	127	100.5	175	62	44.5	79.5	185.5	166.5	247.5
J. Biol. Inorg. Chem.	77	55	91	94	61.5	129	170	127	206.5
J. Biomed. Mater. Res. Part B Appl. Biomater.	213	188	229	136	101	207	350	302	415
J. Biomed. Sci.				92	66.5	108.5			
J. Biomol. NMR	45	36	57	63	50.5	92	119	85	144
J. Biosci. Bioeng.	168	158	181	80	57	121	255	218.5	287
J. Biotechnol.	77	66	111	106	70	147	190	146	262
J. Bone Miner. Metab.	198	157	284	136	99	212	374	300	458
J. Bone Miner. Res.	156	143	177	105	74	153	271	235	316
J. Cancer Res. Clin. Oncol.	94	76	109	52	23	85	144.5	114	191.5
J. Card. Fail.	47	37	56.5	122	86	209	175	133.5	256.5
J. Cardiothorac. Vasc. Anesth.							389.5	350	492
