Jname	Jarticles	MedianWave_rp	Q25Wave_rp	Q75Wave_rp
Med Mycol Case Rep	24	60.5	45	96
Germs	9	60	38	90
Mar Drugs	138	60	42	75
Recent Pat CNS Drug Discov	9	60	54	189
Herzschrittmacherther Elektrophysiol	24	59	50	82.5
J Korean Assoc Oral Maxillofac Surg	10	59	45	148
Nutrients	146	59	43	77
J Phys Chem Lett	9	58	53	62
Adv Bioinformatics	20	57	11	
Biomol Ther (Seoul)	55	57	31.5	105
Magy Onkol	34	57	57	141
Int J Environ Res Public Health	181	55	43	72
Toxins (Basel)	81	55	37	75
Pediatr Gastroenterol Hepatol Nutr	19	54	12	162
Arch Bone Jt Surg	10	53	41	86
Cancer Biol Med	19	52	29	79
Toxicol Res	21	52	29	
Adv Ther	61	51	33	75
Biochem. Biophys. Res. Commun.	1604	49	42	59
Physiol Rep	31	48	31	61
Genomics Inform	19	47	32.5	91
Gastrointest Cancer Res	6	46	25	60
J Gastric Cancer	20	43	26	99.5
Genome Announc	229	41	21	69
Biotechnol Res Int	17	37	22	
Birth Defects Res. C Embryo Today	9	35	34	36
Dermatoendocrinol	32	34	30	149
Quant Imaging Med Surg	17	34	9	51
J Biomed Phys Eng	7	33	27.5	70.5
Viruses	92	32	21.5	49.5
Clin Nutr Res	11	30	26	82
Neurol Res Int	40	29	23	
Exp Neurobiol	20	26	6.5	
Immune Netw	15	24	16	40
Ann Pediatr Endocrinol Metab	20	23.5	7.5	
Gland Surg	12	12.5	9	46
J Cancer Prev	10	1	1	31
Acad Pediatr	97			
ACS Macro Lett	1			
Acta Biochim. Pol.	184			
Acta Cytol.	141		151	
Acta Ethol	2			
Acta Inform Med	52		105	
Acta Med Acad	17		277	
Acta Med Iran	86			
Acta Med Port	172			
Acta Neuropathol Commun	24			
Acta Otorrinolaringol Esp	114			
Acta Psychiatr Scand	2			
Acta Radiol Short Rep	27			
Acta Vet. Scand.	58		70	
Actas Esp Psiquiatr	27			
Addict Health	18			
Addict Res Theory	2			
Addict Sci Clin Pract	14		191	
Adv Appl Bioinform Chem	2			
Adv Cogn Psychol	34		139	
Adv Hematol	17			
Adv Math (N Y)	2			
Adv Pharm Bull	127		65	
Adv Pharmacol Sci	28			
Adv Phys	1			
Adv Prev Med	15		89	
Adv Urol	39			
Adv Virol	15			
Adv. Synth. Catal.	4			
Aerobiologia (Bologna)	4			
Aggress Behav	52		549	
Aggress Violent Behav	2			
AIDS Res Ther	18		67	
AIDS Res Treat	48		106.5	
AIP Adv	2			
Air Med. J.	42			
Air Qual Atmos Health	3			
Algorithms Mol Biol	24			
Allergol Immunopathol (Madr)	74			
Allergy	2			
Allergy Asthma Clin Immunol	32			
Altern Ther Health Med	1			
ALTEX	4			
Alzheimers Res Ther	24		150	
Am J Addict	125			
Am J Blood Res	31			
Am J Cancer Res	51			
Am J Cardiovasc Dis	36			
Am J Case Rep	189			
Am J Clin Exp Immunol	26			
Am J Clin Exp Urol	10			
Am J Neurodegener Dis	35			
Am J Nucl Med Mol Imaging	72			
Am J Otolaryngol	194			
Am J Stem Cells	16			
Am J Transl Res	90			
Am. J. Hum. Biol.	154			
Am. J. Nephrol.	188		62	
AMB Express	43			
An Bras Dermatol	152			
An Sist Sanit Navar	29		14	
Anaesthesiol Intensive Ther	31			
Anat Res Int	13			
Anat Sci Educ	60			
Anemia	17			
Anesthesiol Res Pract	20			
Ann Clin Transl Neurol	2			
Ann Gen Psychiatry	19		70	
Ann Intensive Care	26			
Ann Med Surg (Lond)	10			
Ann Occup Environ Med	15		179.5	
Ann Phys (N Y)	1			
Ann Surg Innov Res	13			
Ann Vasc Dis	105		98	
Ann. Clin. Microbiol. Antimicrob.	18			
Ann. Microbiol.	3			
Antarct. Sci.	2			
Antimicrob Resist Infect Control	25			
Appl Clin Inform	62			
Appl Energy	1			
Appl Magn Reson	13		265	
Appl Res Qual Life	2			
Appl Surf Sci	1			
APSP J Case Rep	70		187	
Aquat Biosyst	10		226	
Arch Argent Pediatr	35			
Arch Cardiol Mex	44			
Arch Gerontol Geriatr	165			
Arch Ital Urol Androl	20			
Arch Osteoporos	69		126	
Arch Prev Riesgos Labor	7			
Arch Public Health	21			
Arch Trauma Res	49		93	
Archaea	46		64	
Arq Bras Cir Dig	54		249	
Arq Bras Oftalmol	38			
Arq Gastroenterol	32			
Arthritis	29		112	
Arthritis Res. Ther.	156		101.5	
Arthrosc Tech	115		233	
Asia Pac Fam Med	3			
ASN Neuro	3			
Aust N Z J Public Health	3			
Autism Res Treat	29			
Autoimmune Dis	43			
Bacteriophage	8		59.5	
Basic Clin Neurosci	41		114	
Behav Brain Funct	18		81	
Behav Sci Law	45			
Behav. Ecol. Sociobiol. (Print)	8		208.5	
Beilstein J Nanotechnol	140			
Beilstein J Org Chem	429			
Biling (Camb Engl)	1			
Biochem Mol Biol Educ	56			
Biochem Res Int	29			
Biochem. Eng. J.	1			
BioData Min	7			
Biodivers Data J	36			
Bioessays	2			
Biofactors	90			
Bioimpacts	44			
Bioinformation	264			
Bioinorg Chem Appl	38			
Biol Aujourdhui	38			
Biol Mood Anxiety Disord	16			
Biol Philos	5		119	
Biol Proced Online	9		99	
Biol Sex Differ	14			
Biol. Direct	21			
Biol. Invasions	1			
Biol. Res.	53		114	
Biologics	1			
Biology (Basel)	39			
Biomed Eng Online	60			
Biomed Opt Express	305		111	
Biomed Res Int	2696			
Biomedica	60		485	
Biomicrofluidics	185			
Biomolecules	19			
Biophys Rev	4			
Biophys. Chem.	72		113.5	
Biotechnol Biofuels	104		84	
Biotechnol. Appl. Biochem.	70			
Biotechnol. Prog.	218			
BJOG	1			
Blood Cancer J	18			
Blood Purif.	51		94	
BMB Rep	1			
BMC Anesthesiol	31		46.5	
BMC Biochem.	17		65	
BMC Biol.	71			
BMC Biophys	6		89	
BMC Biotechnol.	62		67	
BMC Cancer	336		70.5	
BMC Cardiovasc Disord	70		80	
BMC Clin Pathol	18		65	
BMC Complement Altern Med	205		105	
BMC Dermatol.	12			
BMC Dev. Biol.	20		103	
BMC Ear Nose Throat Disord	9		204	
BMC Ecol.	29		67	
BMC Endocr Disord	26		72	
BMC Evol. Biol.	169		86	
BMC Fam Pract	97		73	
BMC Genet.	83		75	
BMC Genomics	499		81	
BMC Geriatr	72		86	
BMC Hematol	4			
BMC Infect. Dis.	308		102	
BMC Med	128		86	
BMC Med Ethics	28		69.5	
BMC Med Genomics	33		196	
BMC Med Inform Decis Mak	81		77	
BMC Med Phys	5		64	
BMC Med Res Methodol	96		65	
BMC Microbiol.	159		68.5	
BMC Mol. Biol.	18		184	
BMC Musculoskelet Disord	207		106.5	
BMC Neurol	120		74	
BMC Neurosci	86		105	
BMC Nurs	28		103	
BMC Ophthalmol	44		11	
BMC Oral Health	40		63	
BMC Palliat Care	23		76	
BMC Pediatr	115		135	
BMC Pharmacol Toxicol	37		233	
BMC Physiol.	6		203	
BMC Plant Biol.	115		83.5	
BMC Pregnancy Childbirth	138		63	
BMC Psychol	41		16	
BMC Public Health	695		72	
BMC Pulm Med	50		74	
BMC Res Notes	334		81	
BMC Struct. Biol.	14			
BMC Surg	42		62	
BMC Urol	39		35	
BMC Vet. Res.	150		81	
Bone Joint Res	4			
Bone Marrow Res	11			
Bonekey Rep	23			
Br J Surg	1			
Brachytherapy	93			
Brain Behav. Evol.	37		198	
Brain Sci	29			
Brain Tumor Res Treat	4			
Braz Dent J	98		231	
Braz J Anesthesiol	111			
Braz J Infect Dis	141			
Braz J Otorhinolaryngol	77			
Braz J Phys Ther	49			
Braz Oral Res	66			
Breast Cancer Res.	79		61.5	
Bull Group Int Rech Sci Stomatol Odontol	5			
Can J Public Health	57			
Can Urol Assoc J	2			
Cancer Cell Int.	68			
Cancer Growth Metastasis	1			
Cancer Inform	1			
Cancers (Basel)	39			
Cardiol J	102			
Cardiol Res Pract	32			
Cardiology	149		67	
Cardiovasc Diabetol	92			
Cardiovasc Hematol Disord Drug Targets	1			
Cardiovasc Psychiatry Neurol	20			
Cardiovasc Revasc Med	76			
Cardiovasc Ultrasound	15			
Cardiovasc. Pathol.	87			
Case Rep Anesthesiol	37			
Case Rep Cardiol	51			
Case Rep Crit Care	40			
Case Rep Dent	230			
Case Rep Dermatol Med	50			
Case Rep Emerg Med	66			
Case Rep Endocrinol	71			
Case Rep Gastrointest Med	84			
Case Rep Genet	38			
Case Rep Hematol	95			
Case Rep Infect Dis	82			
Case Rep Med	369			
Case Rep Nephrol	37			
Case Rep Neurol Med	115			
Case Rep Obstet Gynecol	189			
Case Rep Oncol Med	141			
Case Rep Ophthalmol Med	75			
Case Rep Orthop	178			
Case Rep Otolaryngol	159			
Case Rep Pathol	86			
Case Rep Pediatr	108			
Case Rep Psychiatry	33			
Case Rep Pulmonol	44			
Case Rep Radiol	90			
Case Rep Rheumatol	50			
Case Rep Surg	191			
Case Rep Transplant	52			
Case Rep Urol	171			
Case Rep Vasc Med	66			
Case Reports Hepatol	36			
Case Reports Immunol	11			
Catal Letters	3			
Cell Biosci	29			
Cell Commun. Signal	52		79	
Cell Death Dis	85			
Cell Div	10			
Cell Logist	11			
Cell Regen (Lond)	10			
Cell. Immunol.	107		116	
Cell. Mol. Biol. (Noisy-le-grand)	16		641	
Cell. Physiol. Biochem.	1			
Cells	20			
Cent European J Urol	85		171	
Cent Nerv Syst Agents Med Chem	6		263	
Cerebrovasc. Dis.	205		80	
Chem Cent J	145			
Chem Eng J	1			
Chem. Phys. Lipids	80		214.5	
ChemCatChem	4			
Chemother Res Pract	11			
Chemotherapy	99			
Chempluschem	2			
Child Adolesc Psychiatry Ment Health	19		73.5	
Chin Med	17		114	
Chiropr Man Therap	29		86	
Cholesterol	19			
Cilia	10		121	
Clin Cosmet Investig Dent	2			
Clin Epidemiol	3			
Clin Epigenetics	8		81.5	
Clin Imaging	215			
Clin Interv Aging	13			
Clin Invest Med	7			
Clin Investig Arterioscler	21			
Clin J Gastroenterol	12		153	
Clin Med Insights Case Rep	2			
Clin Mol Allergy	1			
Clin Ophthalmol	13			
Clin Oral Implants Res	2			
Clin Pract Epidemiol Ment Health	41			
Clin Proteomics	9		74	
Clin Psychol Psychother	51			
Clin Sarcoma Res	9			
Clin Transl Allergy	26			
Clin Transl Gastroenterol	2			
Clin Transl Imaging	1			
Clin Transl Immunology	1			
Clin Transl Med	12		31.5	
Clin. Dev. Immunol.	412			
Clin. Exp. Rheumatol.	282			
Clin. Sci.	1			
Clinicoecon Outcomes Res	1			
Cogn Neurosci	1			
Cognit Comput	2			
Colloid Polym Sci	9		80	
Comp Clin Path	3			
Comp Cytogenet	33		156	
Comput Geom	1			
Comput Intell Neurosci	26			
Comput Math Methods Med	491			
Comput Med Imaging Graph	62		323	
Comput Methods Appl Mech Eng	2			
Comput Stat Data Anal	1			
Comput Struct Biotechnol J	92		59.5	
Comput Vis Image Underst	1			
Confl Health	19		106.5	
Congest Heart Fail	31			
Contrast Media Mol Imaging	15			
Coord Chem Rev	1			
Core Evid	1			
Cost Eff Resour Alloc	20		248	
Cough	21		17	
CPT Pharmacometrics Syst Pharmacol	32			
Crit Care	166		78	
Cryst Growth Des	4			
Cuad Bioet	26			
Curr Chem Genomics Transl Med	8			
Curr Gerontol Geriatr Res	19		189	
Curr Immunol Rev	1			
Curr Med Imaging Rev	1			
Curr Nutr Food Sci	1			
Curr Org Chem	2			
Curr Pediatr Rev	1			
Curr Pharmacogenomics Person Med	2			
Curr Proteomics	2			
Curr Respir Med Rev	2			
Curr Top Med Chem	207		77.5	
Cytojournal	37			
Cytometry B Clin Cytom	84		274.5	
Dairy Sci Technol	1			
Daru	30		79	
Decis Support Syst	1			
Dement Geriatr Cogn Disord	2			
Depress Res Treat	26			
Dermatol Reports	1			
Dermatol Res Pract	34			
Dermatol. Online J.	49			
Dermatology (Basel)	208		116	
Diabet Foot Ankle	16			
Diabetes Metab Syndr Obes	1			
Diabetol Metab Syndr	51		106	
Diagn Pathol	111			
Diagn Ther Endosc	24		98	
Differentiation	48		243	
Dig Surg	82		316	
Digestion	77		113	
Dis. Markers	146			
Discrete Math	1			
Dokl. Biochem. Biophys.	109			
Drug Des Devel Ther	11			
Drug Dev. Res.	2			
Drug Healthc Patient Saf	1			
Drug Metab Lett	3			
Drug Metabol Drug Interact	27			
Drug Resist. Updat.	8			
Ecancermedicalscience	133			
Econ. Bot.	2			
Einstein (Sao Paulo)	41			
EJNMMI Res	49			
Electrolyte Blood Press	3			
Elife	96		84	
Emerg Med Int	44			
Emerg Med Pract	4			
Emerg Themes Epidemiol	9		29	
Endocrinol Diabetes Metab Case Rep	36			
Endokrynol Pol	30			
Energy Policy	1			
Enferm Clin	40			
Enferm Intensiva	16			
Environ Health	63		79.5	
Environ Health Toxicol	19		166.5	
Environ. Exp. Bot.	3			
Environmetrics	2			
Enzyme Res	27			
Epidemiol Health	11		313	
Epigenetics Chromatin	26			
Epilepsy Behav Case Rep	54			
Epilepsy Curr	1			
Epilepsy Res Treat	33			
EPMA J	15		74.5	
Esophagus	5			
Eur Ann Allergy Clin Immunol	11		4	
Eur Econ Rev	1			
Eur J Histochem	21		99	
Eur J Hosp Pharm Sci Pract	4			
Eur J Oper Res	1			
Eur J Plast Surg	4			
Eur J Popul	4			
Eur J Psychotraumatol	81		142	
Eur J Trauma Emerg Surg	2			
Eur Orthop Traumatol	4			
Eur Rev Aging Phys Act	1			
Eur Surg	3			
Eur Surg Res	48		309	
Eur. J. Cell Biol.	25		258	
Eur. J. Med. Res.	30		119	
Eur. Neurol.	180		167.5	
EURASIP J Bioinform Syst Biol	8		329	
European J Pediatr Surg Rep	4			
Evid Based Complement Alternat Med	1965			
Evodevo	18		70	
Evol Biol	6		252	
Evol. Anthropol.	4			
Evol. Bioinform. Online	1			
Exp Hematol Oncol	25			
Exp Transl Stroke Med	10			
Exp. Mol. Med.	15			
Explore (NY)	20			
Fam Process	1			
FEBS Open Bio	117			
Fibrogenesis Tissue Repair	14		42	
Folia Histochem. Cytobiol.	46			
Food Biophys	4			
Food Nutr Res	41		182	
Forensic Toxicol	1			
Found Phys	1			
Front Aging Neurosci	126			
Front Behav Neurosci	264			
Front Bioeng Biotechnol	25			
Front Cell Dev Biol	5			
Front Cell Infect Microbiol	141			
Front Cell Neurosci	333			
Front Chem	48			
Front Comput Neurosci	278			
Front Endocrinol (Lausanne)	240			
Front Evol Neurosci	1			
Front Genet	365			
Front Hum Neurosci	1243			
Front Immunol	497			
Front Integr Neurosci	140			
Front Life Sci	1			
Front Microbiol	525			
Front Mol Neurosci	61			
Front Neural Circuits	316			
Front Neuroanat	63			
Front Neuroenergetics	12			
Front Neuroeng	16			
Front Neuroinform	57			
Front Neurol	254			
Front Neurorobot	37			
Front Neurosci	338			
Front Oncol	426			
Front Pediatr	46			
Front Pharmacol	228			
Front Physiol	503			
Front Plant Sci	690			
Front Psychiatry	222			
Front Psychol	1359			
Front Public Health	72			
Front Synaptic Neurosci	10			
Front Syst Neurosci	136			
Front. Zool.	37			
Fungal Biol Rev	1			
Gac Sanit	96			
Games Econ Behav	1			
Gastroenterol Hepatol Bed Bench	41		88	
Gastroenterol Res Pract	244			
Gen Hosp Psychiatry	183			
Gene Expr. Patterns	49		291	
Genes (Basel)	13			
Genes Genomics	1			
Genes Immun.	39		245	
Genet Res Int	15			
Genet. Sel. Evol.	34		21	
Genome Biol.	83			
Genome Integr	4			
Genome Med	61			
Geochem. Trans.	3			
Geoderma	1			
Ger Med Sci	21		67	
Geriatr Nurs	42			
Gigascience	8			
Glob Cardiol Sci Pract	75			
Glob Change Biol Bioenergy	2			
Global Health	28		79	
Ground Water	45			
Gut Pathog	15			
Gynecol Oncol Case Rep	71			
Gynecol Surg	1			
Head Face Med	15		34.5	
Health Econ Rev	14		86	
Health Promot Perspect	41			
Health Psychol Behav Med	7			
Health Psychol Rev	1			
Health Qual Life Outcomes	108		83	
Health Res Policy Syst	32		76.5	
Health Syst (Basingstoke)	1			
Heart Asia	4			
Heart Int	4			
Heart Lung	96			
Hell J Nucl Med	33			
Hematol Oncol Stem Cell Ther	11			
Hepat Mon	157		173	
Hepat Res Treat	21			
Hepatol Int	3			
Hered Cancer Clin Pract	9		88	
Herpesviridae	1			
HIM J	1			
HIV AIDS (Auckl)	1			
Horm Res Paediatr	174		65	
HPB Surg	22			
Hum Ecol Risk Assess	1			
Hum Resour Health	31		188	
Hum. Genomics	13			
Hum. Hered.	20		500	
Immun Ageing	37		1	
Immunol. Rev.	3			
Implement Sci	72		80	
In Silico Pharmacol	30			
Indian Heart J	100			
Indian J Pharmacol	82			
Indian J Plant Physiol	4			
Inf Retr Boston	1			
Infect Dis Obstet Gynecol	32		97.5	
Infect Dis Poverty	12			
Infect Disord Drug Targets	16		168.5	
Infect Ecol Epidemiol	23			
Infect. Agents Cancer	32			
Influenza Res Treat	12			
Inorganica Chim Acta	4			
Insectes Soc	1			
Int Arch Med	33		136	
Int Braz J Urol	87			
Int Breastfeed J	10		85	
Int J Adolesc Youth	1			
Int J Alzheimers Dis	33			
Int J Anal Chem	22			
Int J Behav Nutr Phys Act	81		129	
Int J Biochem Mol Biol	22			
Int J Biomater	28			
Int J Biomed Imaging	56			
Int J Bipolar Disord	32			
Int J Breast Cancer	31			
Int J Burns Trauma	39			
Int J Cell Biol	82			
Int J Circumpolar Health	62		72	
Int J Clin Exp Med	210			
Int J Clin Exp Pathol	535			
Int J Clin Pract Suppl	2			
Int J Comput Vis	2			
Int J Cult Ment Health	1			
Int J Dent	100			
Int J Emerg Med	27		83.5	
Int J Endocrinol	315			
Int J Equity Health	62		122	
Int J Evol Biol	17			
Int J Family Med	25		95	
Int J Gen Med	3			
Int J Genomics	66			
Int J Health Geogr	29		21	
Int J Health Plann Manage	58			
Int J Hematol Oncol Stem Cell Res	32			
Int J Hepatol	54		21	
Int J Hypertens	93		41	
Int J Inflam	49			
Int J Integr Care	55		80	
Int J Med Chem	23		77	
Int J Med Sci	353		94	
Int J Ment Health Syst	21		74	
Int J Microbiol	37			
Int J Mol Cell Med	11			
Int J Mol Epidemiol Genet	40			
Int J Mol Imaging	18		80	
Int J Mol Sci	677			
Int J Nanomedicine	22			
Int J Nephrol	35		117	
Int J Nephrol Renovasc Dis	2			
Int J Ophthalmol	240		71	
Int J Otolaryngol	30			
Int J Pediatr	33			
Int J Pediatr Endocrinol	10		64	
Int J Pept	22		42	
Int J Physiol Pathophysiol Pharmacol	39			
Int J Plant Genomics	8		19	
Int J Rheumatol	32			
Int J Stomatol Occlusion Med	4			
Int J Surg	256		83	
Int J Surg Case Rep	457		105	
Int J Surg Oncol	31			
Int J Telemed Appl	21		23	
Int J Thermophys	2			
Int J Tryptophan Res	1			
Int J Vasc Med	34			
Int J Womens Health	3			
Int Marit Health	35			
Int Neurourol J	17		32	
Int. Biodeterior. Biodegradation	2			
Int. J. Biol. Sci.	168			
Int. J. Dermatol.	2			
Int. J. Impot. Res.	33		498	
Int. J. Primatol.	7		151.5	
Intelligence	1			
Interact J Med Res	15		92.5	
Interdiscip Perspect Infect Dis	19			
Intractable Rare Dis Res	10		41	
Intravital	1			
Intrinsically Disord Proteins	1			
Iperception	76		241.5	
Ir Vet J	15		129.5	
Iran Endod J	51		156	
Iran J Child Neurol	24		321.5	
Iran J Neurol	43		88.5	
Iran J Ped Hematol Oncol	40		12.5	
Iranian J Environ Health Sci Eng	29			
Isr J Health Policy Res	19		100	
ISRN AIDS	14			
ISRN Allergy	14		56	
ISRN Cardiol	28			
ISRN Dent	36			
ISRN Dermatol	36			
ISRN Endocrinol	54			
ISRN Family Med	30			
ISRN Gastroenterol	44			
ISRN Hematol	22			
ISRN Inflamm	20			
ISRN Microbiol	31			
ISRN Neurol	63			
ISRN Neurosci	31			
ISRN Nurs	24			
ISRN Nutr	35		27	
ISRN Obes	39			
ISRN Obstet Gynecol	59			
ISRN Oncol	89			
ISRN Ophthalmol	41			
ISRN Org Chem	21			
ISRN Orthop	40			
ISRN Otolaryngol	34			
ISRN Pediatr	25			
ISRN Pharm	17			
ISRN Pharmacol	52			
ISRN Prev Med	27		89.5	
ISRN Psychiatry	29			
ISRN Radiol	37		75	
ISRN Rheumatol	15			
ISRN Surg	32			
ISRN Toxicol	28			
ISRN Urol	35			
ISRN Vet Sci	28			
Ital J Pediatr	44		73	
J Aging Res	45		78	
J Agric Sci	1			
J Allergy (Cairo)	34			
J Allergy Clin Immunol Pract	134			
J Am Coll Clin Wound Spec	4			
J Am Soc Hypertens	60			
J Amino Acids	33			
J Anal Methods Chem	100			
J Anim Sci Biotechnol	22			
J Anthropol Archaeol	1			
J Appl Ecol	3			
J Appl Oral Sci	75			
J Appl Res Intellect Disabil	2			
J Assoc Nurses AIDS Care	77			
J Biol Eng	21		63	
J Biomed Semantics	21		157	
J Blood Transfus	10			
J Brachial Plex Peripher Nerve Inj	8		79.5	
J Bras Nefrol	29			
J Bras Pneumol	63			
J Bus Res	1			
J Cancer	112			
J Cancer Epidemiol	21			
J Carcinog	26		114	
J Card Surg	2			
J Cardiovasc Comput Tomogr	59			
J Cardiovasc Magn Reson	59		138	
J Cardiovasc Thorac Res	46			
J Catal	1			
J Cell Death	1			
J Chem Eng Data	2			
J Chem Thermodyn	2			
J Cheminform	28		55	
J Chiropr Humanit	1			
J Circadian Rhythms	7			
J Clin Bioinforma	13			
J Clin Densitom	92			
J Clin Imaging Sci	111			
J Clin Lipidol	81			
J Clin Sleep Med	1			
J Commun Disord	46			
J Community Hosp Intern Med Perspect	43			
J Comput Phys	1			
J Diabetes Metab Disord	41		86	
J Diabetes Res	210			
J Drug Deliv	50			
J Dyn Syst Meas Control	3			
J East Afr Stud	3			
J Eat Disord	61		80	
J Echocardiogr	4			
J Econ Theory	2			
J Educ Eval Health Prof	19			
J Educ Psychol	1			
J Electroanal Chem (Lausanne Switz)	1			
J Electrocardiol	162			
J Electron Packag	2			
J Eng Math	1			
J Environ Health Sci Eng	16			
J Environ Public Health	105		61	
J Epilepsy Res	2			
J Equine Sci	4			
J Ethics	2			
J Ethnobiol Ethnomed	47		127	
J Evid Based Dent Pract	3			
J Exerc Nutrition Biochem	1			
J Exerc Rehabil	41			
J Exp Soc Psychol	3			
J Expo Sci Environ Epidemiol	53			
J Extracell Vesicles	28		79.5	
J Fluids Eng	1			
J Foot Ankle Res	29		44	
J Foot Ankle Surg	167			
J Funct Biomater	9			
J Glob Antimicrob Resist	2			
J Hand Ther	64			
J Healthc Qual	1			
J Heat Transfer	2			
J Hematol Oncol	49		60	
J Immunother Cancer	25			
J Incl Phenom Macrocycl Chem	3			
J Inflamm Res	1			
J Int Soc Sports Nutr	40		246	
J Integr Bioinform	8			
J Intensive Care	13			
J Lipids	22		57	
J Loss Trauma	1			
J Mater Chem C Mater Opt Electron Devices	1			
J Math Anal Appl	2			
J Mech Des N Y	1			
J Med Case Rep	164		90	
J Med Device	4			
J Med Ethics Hist Med	16		208.5	
J Med Person	1			
J Med Ultrason (2001)	1			
J Minim Invasive Gynecol	189			
J Mod Opt	2			
J Mol Genet Med	1			
J Mol Psychiatry	23		62	
J Mol Signal	8			
J Mov Disord	4			
J Multidiscip Healthc	1			
J Nanobiotechnology	18			
J Nanopart Res	36		192	
J Neurodev Disord	23			
J Neuroimaging	57		580	
J Neuroinflammation	78		65	
J Nucleic Acids	18			
J Nutr Educ Behav	100			
J Nutr Metab	36			
J Nutrigenet Nutrigenomics	26		144	
J Obes	177		36	
J Occup Med Toxicol	21			
J Ocul Biol Dis Infor	5			
J Oncol	50		114	
J Ophthalmol	109			
J Opioid Manag	32			
J Optom	8			
J Oral Microbiol	19			
J Organ Behav	1			
J Organomet Chem	2			
J Orthop	59		203	
J Osteoporos	27		17.5	
J Ovarian Res	64			
J Pain Res	1			
J Parasitol Res	27			
J Pathog	18			
J Pathol Inform	78			
J Pediatr (Rio J)	109			
J Pediatr Health Care	61			
J Pediatr Nurs	65			
J Pediatr Ophthalmol Strabismus	52			
J Pers Med	4			
J Pest Sci (2004)	4			
J Pharm Health Serv Res	1			
J Pharm Policy Pract	10		63	
J Pharmacol Toxicol Methods	103			
J Polym Sci A Polym Chem	2			
J Posit Psychol	1			
J Pregnancy	31		40	
J Press Vessel Technol	2			
J Prof Nurs	52			
J R Stat Soc Ser C Appl Stat	1			
J Radiat Oncol	1			
J Renal Inj Prev	63			
J Res Health Sci	31			
J RNAi Gene Silencing	3			
J Rural Med	20			
J S Afr Vet Assoc	5		90	
J Signal Transduct	7			
J Skin Cancer	31		134	
J Sol Energy Eng	1			
J Sports Sci Med	165		81	
J Stat Plan Inference	1			
J Stem Cells Regen Med	9		56	
J Support Oncol	4			
J Surg Educ	160			
J Syst Softw	1			
J Ther Ultrasound	34			
J Thyroid Res	35			
J Tissue Eng	9			
J Toxicol	38		303	
J Transl Med	180		105.5	
J Transplant	36			
J Travel Med	74			
J Trop Med	47		66	
J Turbomach	1			
J Turk Ger Gynecol Assoc	79		47	
J Undergrad Neurosci Educ	18			
J Vac Sci Technol A	3			
J Venom Anim Toxins Incl Trop Dis	16		80	
J Venom Res	7			
J Vet Emerg Crit Care (San Antonio)	63			
J Vib Acoust	4			
J Youth Stud	1			
J. Biomed. Sci.	43			
J. Cereal Sci.	2			
J. Diabetes Complicat.	121			
J. Ecol.	2			
J. Eukaryot. Microbiol.	101			
J. Exp. Clin. Cancer Res.	43			
J. Med. Dent. Sci.	10		64	
J. Med. Internet Res.	139		98	
J. Med. Virol.	1			
J. Microbiol. Biotechnol.	1			
J. Physiol. (Lond.)	1			
J. Vasc. Res.	66		197	
J. Vet. Intern. Med.	284			
J. Wildl. Manage.	2			
J. Zool. (Lond.)	2			
JMIR Med Inform	2			
JMIR Mhealth Uhealth	20			
Jundishapur J Microbiol	2			
Kardiol Pol	317			
Kidney Blood Press. Res.	2			
Korean J Radiol	128			
Labour Econ	1			
Lang Cogn Process	1			
Laser Photon Rev	1			
Laser Ther	21			
Learn Individ Differ	1			
Leuk Res Rep	39		86.5	
Leuk Res Treatment	11			
Libyan J Med	10			
Life (Basel)	22			
Limnologica	2			
Linear Algebra Appl	1			
Lipid Insights	1			
Lipids Health Dis	91			
Luminescence	180		529	
Malar Res Treat	22			
Malar. J.	237		77	
Mass Spectrom Rev	44			
Mater Sci Eng A Struct Mater	1			
Mater Sociomed	54			
Mech. Ageing Dev.	88		251	
Mech. Dev.	38		397	
Med 2 0	9			
Med Devices (Auckl)	2			
Med Educ Online	16			
Med Gas Res	15			
Med J Nutrition Metab	2			
Medchemcomm	1			
Mediators Inflamm.	488			
Mediterr J Hematol Infect Dis	99			
Membranes (Basel)	9			
Metabolites	23			
Microb Inform Exp	3			
Microb. Cell Fact.	70			
Microb. Ecol. Health Dis.	9		72	
Microporous Mesoporous Mater	1			
Mini Rev Org Chem	1			
Minim Invasive Surg	36			
Mob DNA	18		129	
Mol Autism	30		84	
Mol Biol Int	7			
Mol Brain	26		80	
Mol Cytogenet	35			
Mol Imaging Biol	4			
Mol Metab	66			
Mol Neurodegener	22		91	
Mol Oral Microbiol	1			
Mol Pain	39			
Mol Ther Nucleic Acids	19			
Mol. Aspects Med.	62		400	
Mol. Biotechnol.	1			
Mol. Cancer	68			
Mol. Cell. Probes	34			
Mol. Med.	39			
Molecules	461			
Morphologie	4			
Mov Ecol	22			
Mult Scler Int	48		25	
Multidiscip Respir Med	48		80.5	
Muscle Nerve	4			
Mutat Res Fundam Mol Mech Mutagen	1			
Mutat Res Rev Mutat Res	2			
Nano Rev	1			
Nanoscale Res Lett	274		52	
Nat Commun	1571		109	
Nephron Clin Pract	96		83	
Nephron Exp. Nephrol.	18		170	
Nephron Physiol	8			
Netw Model Anal Health Inform Bioinform	2			
Neural Comput Appl	2			
Neural Dev	16			
Neural Plast.	85			
Neuro Endocrinol. Lett.	148			
